order_id,customer_name,product,quantity,price,order_date,country,total_amount,discount,final_amount
31,ANGELA DEAN,Laptop,3,446.71,2024-10-25,Germany,1340.1299999999999,0.0,1340.1299999999999
32,MARTHA ORTEGA,Laptop,8,157.08,2024-03-01,France,1256.64,0.1,1130.976
33,JAMES WILLIAMS,Mouse,3,434.01,2024-10-03,Germany,1302.03,0.0,1302.03
34,AMBER CURRY,Laptop,1,164.48,2024-02-18,Japan,164.48,0.0,164.48
35,ANN MUELLER,USB Cable,4,180.19,2024-10-31,USA,720.76,0.0,720.76
36,ROBIN JONES,USB Cable,7,464.01,2024-02-22,Japan,3248.0699999999997,0.1,2923.263
37,MATTHEW SANDOVAL,Keyboard,4,109.7,2024-06-23,Germany,438.8,0.0,438.8
38,BRITTANY BENSON,USB Cable,8,339.53,2024-11-07,Japan,2716.24,0.1,2444.616
39,CASEY DAY,Monitor,7,108.61,2024-06-22,Japan,760.27,0.1,684.243
40,ALLISON TAYLOR,Mouse,6,28.77,2024-02-10,France,172.62,0.1,155.358
41,HEATHER SALAS,Monitor,3,258.82,2024-11-02,USA,776.46,0.0,776.46
42,ERIK MEDINA,Monitor,1,367.47,2024-05-29,UK,367.47,0.0,367.47
43,TASHA PROCTOR,Laptop,7,161.33,2024-05-19,UK,1129.3100000000002,0.1,1016.3790000000001
44,DANIELLE SMITH,Keyboard,8,244.69,2024-08-22,USA,1957.52,0.1,1761.768
45,PAM ROGERS,Mouse,1,451.4,2024-12-15,Japan,451.4,0.0,451.4
46,JUAN HINES,USB Cable,4,180.53,2024-07-14,Germany,722.12,0.0,722.12
47,ROBERT MENDEZ,Mouse,5,108.58,2024-04-12,France,542.9,0.0,542.9
48,BRYAN BROWN,USB Cable,4,37.55,2024-03-28,UK,150.2,0.0,150.2
49,HUNTER SCOTT II,Monitor,7,341.46,2024-03-07,Germany,2390.22,0.1,2151.198
50,MRS. MISTY REID,Laptop,6,364.86,2024-08-15,France,2189.16,0.1,1970.244
51,MICHAEL PHILLIPS,USB Cable,10,471.76,2024-07-06,France,4717.6,0.1,4245.84
52,SCOTT POWELL,Laptop,9,322.26,2024-05-05,Germany,2900.34,0.1,2610.306
53,RYAN REYNOLDS,Keyboard,1,330.07,2024-08-20,UK,330.07,0.0,330.07
54,JAMES WILSON,Mouse,9,261.2,2024-01-08,UK,2350.7999999999997,0.1,2115.72
55,ANNETTE OSBORNE,Laptop,9,417.23,2024-01-02,Germany,3755.07,0.1,3379.563
56,ANGELA ROBERTS,Mouse,6,59.23,2024-01-26,Japan,355.38,0.1,319.842
57,MATTHEW BATES,USB Cable,9,18.19,2024-03-05,Germany,163.71,0.1,147.339
58,STEPHEN MCCARTHY,Monitor,4,98.36,2024-04-20,USA,393.44,0.0,393.44
59,JACKIE DIAZ,Mouse,3,367.14,2024-07-10,France,1101.42,0.0,1101.42
60,NICHOLAS AGUIRRE,Monitor,1,349.09,2024-11-25,Japan,349.09,0.0,349.09
61,KRISTA GATES,USB Cable,7,437.88,2024-11-19,UK,3065.16,0.1,2758.644
62,RYAN ANDREWS,Laptop,8,205.18,2024-01-09,Germany,1641.44,0.1,1477.296
63,ERIC MILLER,Laptop,4,389.46,2024-11-24,USA,1557.84,0.0,1557.84
64,PATRICIA KING,Mouse,10,25.07,2024-06-22,USA,250.7,0.1,225.63
65,SHARON HERNANDEZ,Laptop,2,246.86,2024-05-23,UK,493.72,0.0,493.72
66,ANA MILLER,Mouse,7,331.08,2024-10-12,UK,2317.56,0.1,2085.804
67,DAVID CARTER,USB Cable,6,476.65,2024-01-24,USA,2859.8999999999996,0.1,2573.91
68,BRETT GRAY,Mouse,5,268.35,2024-10-13,France,1341.75,0.0,1341.75
69,MR. DONALD WEBER,USB Cable,7,323.96,2024-01-20,France,2267.72,0.1,2040.9479999999999
70,HEATHER ROBERTS,USB Cable,6,91.62,2024-09-14,France,549.72,0.1,494.74800000000005
71,RICHARD CLARK,Keyboard,6,61.18,2024-06-08,UK,367.08,0.1,330.372
72,RONALD MARTIN,Monitor,7,240.37,2024-06-18,France,1682.5900000000001,0.1,1514.3310000000001
73,COLLIN DANIELS,USB Cable,6,248.68,2024-08-10,France,1492.08,0.1,1342.872
74,STEPHANIE THOMPSON,Mouse,5,295.29,2024-02-23,Japan,1476.45,0.0,1476.45
75,ZACHARY JOHNSON,Mouse,5,186.58,2024-01-14,UK,932.9000000000001,0.0,932.9000000000001
76,JORGE MARTINEZ,Monitor,1,73.44,2024-05-22,Germany,73.44,0.0,73.44
77,EMILY BANKS,Keyboard,1,307.42,2024-04-25,UK,307.42,0.0,307.42
78,JANICE ESTRADA,Keyboard,1,210.22,2024-08-13,Germany,210.22,0.0,210.22
79,DOUGLAS JOHNSON,USB Cable,7,435.76,2024-06-11,UK,3050.3199999999997,0.1,2745.288
80,CALVIN COLLINS,USB Cable,9,265.63,2024-03-19,USA,2390.67,0.1,2151.603
81,ANNE WILLIAMS,Mouse,7,240.5,2024-06-07,France,1683.5,0.1,1515.15
82,JUDITH BURNETT,Monitor,3,89.09,2024-04-01,France,267.27,0.0,267.27
83,JONATHAN JAMES,USB Cable,7,262.44,2024-12-02,Japan,1837.08,0.1,1653.372
84,SEAN BAKER,Mouse,1,86.08,2024-07-31,USA,86.08,0.0,86.08
85,MICHAEL HOLLAND,Monitor,9,61.92,2024-11-17,France,557.28,0.1,501.55199999999996
86,RICHARD SMITH,Laptop,9,497.67,2024-12-04,USA,4479.03,0.1,4031.127
87,JOSHUA SIMMONS,Laptop,6,153.06,2024-01-13,France,918.36,0.1,826.524
88,MS. BRENDA HILL,Monitor,5,247.46,2024-09-04,France,1237.3,0.0,1237.3
89,SARA GUERRERO,Keyboard,8,24.72,2024-02-26,UK,197.76,0.1,177.984
90,RICHARD HENSON,Monitor,7,35.92,2024-11-01,France,251.44,0.1,226.296
91,RICHARD WAGNER,Monitor,7,371.72,2024-11-10,UK,2602.04,0.1,2341.8360000000002
92,BARBARA GONZALEZ,Mouse,8,343.77,2024-09-25,UK,2750.16,0.1,2475.144
93,BREANNA HOLLOWAY,Laptop,7,201.13,2024-11-02,USA,1407.9099999999999,0.1,1267.119
94,DR. DAVID MILLER JR.,Monitor,3,353.39,2024-02-12,France,1060.17,0.0,1060.17
95,EUGENE FLETCHER,USB Cable,7,477.83,2024-08-03,UK,3344.81,0.1,3010.329
96,CHAD COX,Mouse,9,29.7,2024-05-16,USA,267.3,0.1,240.57000000000002
97,KAITLYN HANSON DVM,USB Cable,10,135.36,2024-06-16,Japan,1353.6000000000001,0.1,1218.2400000000002
98,JESSICA RIVERA,Laptop,10,55.97,2024-11-03,France,559.7,0.1,503.7300000000001
99,TANYA MILLER,Laptop,6,44.0,2024-03-14,France,264.0,0.1,237.6
100,PAMELA DILLON,USB Cable,7,250.85,2024-06-18,France,1755.95,0.1,1580.355
